ubicacionid,criticidadid,nodoid,nodo,tipoid,tipo,metricaid,minimo,maximo,umbral
143,2,27,rs485-ls-27,1,Sensor Maceta 10cm,2,30,38,U.N.27-SM10CM-Humd.
143,2,27,rs485-ls-27,3,Sensor Maceta 30cm,2,27,35,U.N.27-SM30CM-Humd.
143,2,58,rs485-ls-58,1,Sensor Maceta 10cm,2,30,38,U.N.58-SM10CM-Humd.
143,2,58,rs485-ls-58,3,Sensor Maceta 30cm,2,27,35,U.N.58-SM30CM-Humd.
162,2,191,rs485-ls-191,1,Sensor Maceta 10cm,2,35,42,U.N.191-SM10CM-Humd.
162,2,191,rs485-ls-191,3,Sensor Maceta 30cm,2,33,40,U.N.191-SM30CM-Humd.
160,2,189,rs485-ls-189,1,Sensor Maceta 10cm,2,30,38,U.N.189-SM10CM-Humd.
160,2,189,rs485-ls-189,3,Sensor Maceta 30cm,2,27,35,U.N.189-SM30CM-Humd.
20,2,94,rs485-ls-94,4,Sensor Suelo 20cm,2,14,30,U.N.94-SM20CM-Humd.
20,2,94,rs485-ls-94,5,Sensor Suelo 40cm,2,14,30,U.N.94-SM40CM-Humd.
20,2,94,rs485-ls-94,6,Sensor Suelo 60cm,2,14,30,U.N.94-SM60CM-Humd.
20,2,96,rs485-ls-96,4,Sensor Suelo 20cm,2,14,30,U.N.96-SM20CM-Humd.
20,2,96,rs485-ls-96,5,Sensor Suelo 40cm,2,14,30,U.N.96-SM40CM-Humd.
20,2,96,rs485-ls-96,6,Sensor Suelo 60cm,2,14,30,U.N.96-SM60CM-Humd.
17,2,91,rs485-ls-91,4,Sensor Suelo 20cm,2,15,30,U.N.91-SM20CM-Humd.
17,2,91,rs485-ls-91,5,Sensor Suelo 40cm,2,15,30,U.N.91-SM40CM-Humd.
17,2,91,rs485-ls-91,6,Sensor Suelo 60cm,2,15,30,U.N.91-SM60CM-Humd.
18,2,92,rs485-ls-92,4,Sensor Suelo 20cm,2,15,30,U.N.92-SM20CM-Humd.
18,2,92,rs485-ls-92,5,Sensor Suelo 40cm,2,15,30,U.N.92-SM40CM-Humd.
18,2,92,rs485-ls-92,6,Sensor Suelo 60cm,2,15,30,U.N.92-SM60CM-Humd.
19,2,93,rs485-ls-93,4,Sensor Suelo 20cm,2,15,30,U.N.93-SM20CM-Humd.
19,2,93,rs485-ls-93,5,Sensor Suelo 40cm,2,15,30,U.N.93-SM40CM-Humd.
19,2,93,rs485-ls-93,6,Sensor Suelo 60cm,2,15,30,U.N.93-SM60CM-Humd.
13,2,70,rs485-ls-70,1,Sensor Maceta 10cm,2,40,45,U.N.70-SM10CM-Humd.
13,2,70,rs485-ls-70,3,Sensor Maceta 30cm,2,39,42,U.N.70-SM30CM-Humd.
6,2,17,rs485-ls-17,1,Sensor Maceta 10cm,2,40,45,U.N.17-SM10CM-Humd.
6,2,17,rs485-ls-17,3,Sensor Maceta 30cm,2,39,42,U.N.17-SM30CM-Humd.
12,2,69,rs485-ls-69,1,Sensor Maceta 10cm,2,40,45,U.N.69-SM10CM-Humd.
12,2,69,rs485-ls-69,3,Sensor Maceta 30cm,2,39,42,U.N.69-SM30CM-Humd.
11,2,68,rs485-ls-68,1,Sensor Maceta 10cm,2,40,45,U.N.68-SM10CM-Humd.
