ubicacionid,criticidadid,nodoid,nodo,tipoid,tipo,metricaid,minimo,maximo,umbral
122,2,138,rs485-ls-138,6,Sensor Suelo 60cm,2,18,30,U.N.138-SM60CM-Humd.
121,2,136,rs485-ls-136,4,Sensor Suelo 20cm,2,18,30,U.N.136-SM20CM-Humd.
121,2,136,rs485-ls-136,5,Sensor Suelo 40cm,2,18,30,U.N.136-SM40CM-Humd.
121,2,136,rs485-ls-136,6,Sensor Suelo 60cm,2,18,30,U.N.136-SM60CM-Humd.
113,2,128,rs485-ls-128,4,Sensor Suelo 20cm,2,18,30,U.N.128-SM20CM-Humd.
113,2,128,rs485-ls-128,5,Sensor Suelo 40cm,2,18,30,U.N.128-SM40CM-Humd.
113,2,128,rs485-ls-128,6,Sensor Suelo 60cm,2,18,30,U.N.128-SM60CM-Humd.
112,2,127,rs485-ls-127,4,Sensor Suelo 20cm,2,18,30,U.N.127-SM20CM-Humd.
112,2,127,rs485-ls-127,5,Sensor Suelo 40cm,2,18,30,U.N.127-SM40CM-Humd.
112,2,127,rs485-ls-127,6,Sensor Suelo 60cm,2,18,30,U.N.127-SM60CM-Humd.
114,2,129,rs485-ls-129,4,Sensor Suelo 20cm,2,18,30,U.N.129-SM20CM-Humd.
114,2,129,rs485-ls-129,5,Sensor Suelo 40cm,2,18,30,U.N.129-SM40CM-Humd.
114,2,129,rs485-ls-129,6,Sensor Suelo 60cm,2,18,30,U.N.129-SM60CM-Humd.
111,2,126,rs485-ls-126,4,Sensor Suelo 20cm,2,18,30,U.N.126-SM20CM-Humd.
111,2,126,rs485-ls-126,5,Sensor Suelo 40cm,2,18,30,U.N.126-SM40CM-Humd.
111,2,126,rs485-ls-126,6,Sensor Suelo 60cm,2,18,30,U.N.126-SM60CM-Humd.
105,2,120,rs485-ls-120,4,Sensor Suelo 20cm,2,18,30,U.N.120-SM20CM-Humd.
105,2,120,rs485-ls-120,5,Sensor Suelo 40cm,2,18,30,U.N.120-SM40CM-Humd.
105,2,120,rs485-ls-120,6,Sensor Suelo 60cm,2,18,30,U.N.120-SM60CM-Humd.
109,2,124,rs485-ls-124,4,Sensor Suelo 20cm,2,18,30,U.N.124-SM20CM-Humd.
109,2,124,rs485-ls-124,5,Sensor Suelo 40cm,2,18,30,U.N.124-SM40CM-Humd.
109,2,124,rs485-ls-124,6,Sensor Suelo 60cm,2,18,30,U.N.124-SM60CM-Humd.
110,2,125,rs485-ls-125,4,Sensor Suelo 20cm,2,18,30,U.N.125-SM20CM-Humd.
110,2,125,rs485-ls-125,5,Sensor Suelo 40cm,2,18,30,U.N.125-SM40CM-Humd.
110,2,125,rs485-ls-125,6,Sensor Suelo 60cm,2,18,30,U.N.125-SM60CM-Humd.
115,2,130,rs485-ls-130,4,Sensor Suelo 20cm,2,18,30,U.N.130-SM20CM-Humd.
115,2,130,rs485-ls-130,5,Sensor Suelo 40cm,2,18,30,U.N.130-SM40CM-Humd.
115,2,130,rs485-ls-130,6,Sensor Suelo 60cm,2,18,30,U.N.130-SM60CM-Humd.
116,2,131,rs485-ls-131,4,Sensor Suelo 20cm,2,18,30,U.N.131-SM20CM-Humd.
116,2,131,rs485-ls-131,5,Sensor Suelo 40cm,2,18,30,U.N.131-SM40CM-Humd.
116,2,131,rs485-ls-131,6,Sensor Suelo 60cm,2,18,30,U.N.131-SM60CM-Humd.
119,2,134,rs485-ls-134,4,Sensor Suelo 20cm,2,18,30,U.N.134-SM20CM-Humd.
119,2,134,rs485-ls-134,5,Sensor Suelo 40cm,2,18,30,U.N.134-SM40CM-Humd.
119,2,134,rs485-ls-134,6,Sensor Suelo 60cm,2,18,30,U.N.134-SM60CM-Humd.
172,2,168,rs485-ls-168,4,Sensor Suelo 20cm,2,20,35,U.N.168-SM20CM-Humd.
172,2,168,rs485-ls-168,5,Sensor Suelo 40cm,2,20,35,U.N.168-SM40CM-Humd.
172,2,168,rs485-ls-168,6,Sensor Suelo 60cm,2,20,35,U.N.168-SM60CM-Humd.
168,2,158,rs485-ls-158,4,Sensor Suelo 20cm,2,20,35,U.N.158-SM20CM-Humd.
168,2,158,rs485-ls-158,5,Sensor Suelo 40cm,2,20,35,U.N.158-SM40CM-Humd.
168,2,158,rs485-ls-158,6,Sensor Suelo 60cm,2,20,35,U.N.158-SM60CM-Humd.
175,2,171,rs485-ls-171,4,Sensor Suelo 20cm,2,20,35,U.N.171-SM20CM-Humd.
175,2,171,rs485-ls-171,5,Sensor Suelo 40cm,2,20,35,U.N.171-SM40CM-Humd.
175,2,171,rs485-ls-171,6,Sensor Suelo 60cm,2,20,35,U.N.171-SM60CM-Humd.
169,2,159,rs485-ls-159,4,Sensor Suelo 20cm,2,20,35,U.N.159-SM20CM-Humd.
169,2,159,rs485-ls-159,5,Sensor Suelo 40cm,2,20,35,U.N.159-SM40CM-Humd.
169,2,159,rs485-ls-159,6,Sensor Suelo 60cm,2,20,35,U.N.159-SM60CM-Humd.
176,2,172,rs485-ls-172,4,Sensor Suelo 20cm,2,20,35,U.N.172-SM20CM-Humd.
176,2,172,rs485-ls-172,5,Sensor Suelo 40cm,2,20,35,U.N.172-SM40CM-Humd.
176,2,172,rs485-ls-172,6,Sensor Suelo 60cm,2,20,35,U.N.172-SM60CM-Humd.
174,2,170,rs485-ls-170,4,Sensor Suelo 20cm,2,20,35,U.N.170-SM20CM-Humd.
174,2,170,rs485-ls-170,5,Sensor Suelo 40cm,2,20,35,U.N.170-SM40CM-Humd.
174,2,170,rs485-ls-170,6,Sensor Suelo 60cm,2,20,35,U.N.170-SM60CM-Humd.
177,2,173,rs485-ls-173,4,Sensor Suelo 20cm,2,20,35,U.N.173-SM20CM-Humd.
177,2,173,rs485-ls-173,5,Sensor Suelo 40cm,2,20,35,U.N.173-SM40CM-Humd.
177,2,173,rs485-ls-173,6,Sensor Suelo 60cm,2,20,35,U.N.173-SM60CM-Humd.
171,2,166,rs485-ls-166,4,Sensor Suelo 20cm,2,20,35,U.N.166-SM20CM-Humd.
171,2,166,rs485-ls-166,5,Sensor Suelo 40cm,2,20,35,U.N.166-SM40CM-Humd.
171,2,166,rs485-ls-166,6,Sensor Suelo 60cm,2,20,35,U.N.166-SM60CM-Humd.
178,2,174,rs485-ls-174,4,Sensor Suelo 20cm,2,20,35,U.N.174-SM20CM-Humd.
178,2,174,rs485-ls-174,5,Sensor Suelo 40cm,2,20,35,U.N.174-SM40CM-Humd.
178,2,174,rs485-ls-174,6,Sensor Suelo 60cm,2,20,35,U.N.174-SM60CM-Humd.
173,2,169,rs485-ls-169,4,Sensor Suelo 20cm,2,20,35,U.N.169-SM20CM-Humd.
173,2,169,rs485-ls-169,5,Sensor Suelo 40cm,2,20,35,U.N.169-SM40CM-Humd.
173,2,169,rs485-ls-169,6,Sensor Suelo 60cm,2,20,35,U.N.169-SM60CM-Humd.
170,2,165,rs485-ls-165,4,Sensor Suelo 20cm,2,20,35,U.N.165-SM20CM-Humd.
170,2,165,rs485-ls-165,5,Sensor Suelo 40cm,2,20,35,U.N.165-SM40CM-Humd.
170,2,165,rs485-ls-165,6,Sensor Suelo 60cm,2,20,35,U.N.165-SM60CM-Humd.
31,2,38,rs485-ls-38,1,Sensor Maceta 10cm,2,40,45,U.N.38-SM10CM-Humd.
31,2,38,rs485-ls-38,3,Sensor Maceta 30cm,2,39,42,U.N.38-SM30CM-Humd.
4,2,7,rs485-ls-7,1,Sensor Maceta 10cm,2,40,45,U.N.7-SM10CM-Humd.
